URL,Status,Response Code,Protocol,Method,Content-Type,Client Address,Client Port,Remote Address,Remote Port,Exception,Request Start Time,Request End Time,Response Start Time,Response End Time,Duration (ms),DNS Duration (ms),Connect Duration (ms),SSL Duration (ms),Request Duration (ms),Response Duration (ms),Latency (ms),Speed (KB/s),Request Speed (KB/s),Response Speed (KB/s),Request Handshake Size (bytes),Request Header Size (bytes),Request Body Size (bytes),Response Handshake Size (bytes),Response Header Size (bytes),Response Body Size (bytes),Request Compression,Response Compression
https://www.googleapis.com,RECEIVING_RESPONSE_BODY,200,https,CONNECT,,/127.0.0.1,50141,www.googleapis.com/172.217.160.202,443,,01 Nov 2023 12:32:07,,,,164445,15,35,99,,,,1.5068359,,,1122,0,169982,272,0,82453,,
https://www.googleapis.com,RECEIVING_REQUEST_BODY,200,https,CONNECT,,/127.0.0.1,50142,www.googleapis.com/142.251.42.10,443,,01 Nov 2023 12:32:07,,,,164428,20,25,88,,,,0.04296875,,,1122,0,3762,272,0,2163,,
https://drivefrontend-pa.googleapis.com,RECEIVING_REQUEST_BODY,200,https,CONNECT,,/127.0.0.1,50143,drivefrontend-pa.googleapis.com/142.250.67.234,443,,01 Nov 2023 12:32:07,,,,164428,78,39,98,,,,0.056640625,,,1148,0,5656,272,0,2472,,
https://drivefrontend-pa.googleapis.com,RECEIVING_REQUEST_BODY,200,https,CONNECT,,/127.0.0.1,50144,drivefrontend-pa.googleapis.com/142.250.67.234,443,,01 Nov 2023 12:32:07,,,,164427,77,22,86,,,,0.07421875,,,1148,0,7522,272,0,3683,,
https://www.googleapis.com,RECEIVING_REQUEST_BODY,200,https,CONNECT,,/127.0.0.1,50145,www.googleapis.com/142.251.42.10,443,,01 Nov 2023 12:32:07,,,,164426,5,28,99,,,,0.04296875,,,1122,0,3762,272,0,2171,,
https://www.googleapis.com,RECEIVING_REQUEST_BODY,200,https,CONNECT,,/127.0.0.1,50147,www.googleapis.com/142.251.42.10,443,,01 Nov 2023 12:32:07,,,,164401,3,44,100,,,,0.06347656,,,1122,0,5614,272,0,3686,,
https://drivefrontend-pa.googleapis.com,COMPLETE,200,https,CONNECT,,/127.0.0.1,50153,drivefrontend-pa.googleapis.com/142.250.67.234,443,,01 Nov 2023 12:32:10,,,01 Nov 2023 12:34:30,139961,7,37,107,,,,0.034179688,,,1148,0,1948,272,0,1647,,
https://www.googleapis.com,RECEIVING_REQUEST_BODY,200,https,CONNECT,,/127.0.0.1,50154,www.googleapis.com/142.251.42.10,443,,01 Nov 2023 12:32:10,,,,161420,9,37,102,,,,0.04296875,,,1122,0,3762,272,0,2047,,
https://drivefrontend-pa.googleapis.com,RECEIVING_REQUEST_BODY,200,https,CONNECT,,/127.0.0.1,50155,drivefrontend-pa.googleapis.com/142.250.67.234,443,,01 Nov 2023 12:32:10,,,,161419,9,22,85,,,,0.05859375,,,1148,0,5656,272,0,2713,,
https://drivefrontend-pa.googleapis.com,RECEIVING_REQUEST_BODY,200,https,CONNECT,,/127.0.0.1,50156,drivefrontend-pa.googleapis.com/142.250.67.234,443,,01 Nov 2023 12:32:10,,,,161419,10,24,83,,,,0.05859375,,,1148,0,5656,272,0,2685,,
https://www.googleapis.com,RECEIVING_REQUEST_BODY,200,https,CONNECT,,/127.0.0.1,50157,www.googleapis.com/172.217.160.202,443,,01 Nov 2023 12:32:10,,,,161418,5,36,102,,,,0.043945312,,,1122,0,3762,272,0,2227,,
